"block_id","plot_id","treatment","tree_id","visit","pest_count","damage_class","dead","non_target_count","cost_cny_plot","implementation_score","source_type"
1,"B1_P1","control","B1_P1_T01",1,4,0,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T01",2,5,2,0,12,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T01",3,3,1,0,0,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T02",1,20,4,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T02",2,0,2,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T02",3,0,1,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T03",1,10,0,0,9,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T03",2,3,1,0,2,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T03",3,5,1,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T04",1,1,1,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T04",2,8,1,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T04",3,1,0,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T05",1,9,0,0,1,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T05",2,4,0,1,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T05",3,17,0,0,10,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T06",1,1,0,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T06",2,1,0,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T06",3,4,0,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T07",1,2,1,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T07",2,0,1,0,0,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T07",3,11,0,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T08",1,14,2,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T08",2,4,0,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T08",3,14,2,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T09",1,10,1,1,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T09",2,8,0,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T09",3,6,1,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T10",1,2,1,0,22,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T10",2,4,2,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T10",3,0,1,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T11",1,10,1,0,1,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T11",2,6,1,0,10,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T11",3,1,2,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T12",1,6,1,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T12",2,10,0,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T12",3,17,1,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T13",1,4,0,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T13",2,9,1,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T13",3,8,2,0,6,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T14",1,13,1,0,9,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T14",2,21,2,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T14",3,17,1,0,11,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T15",1,15,4,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T15",2,2,0,0,2,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T15",3,4,0,0,4,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T16",1,41,2,1,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T16",2,40,2,0,14,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T16",3,10,1,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T17",1,1,3,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T17",2,28,0,0,7,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T17",3,3,2,0,15,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T18",1,0,0,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T18",2,0,0,0,1,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T18",3,5,2,0,8,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T19",1,2,1,0,5,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T19",2,0,1,0,8,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T19",3,14,2,0,3,0,0.8,"synthetic_teaching_data"
1,"B1_P1","control","B1_P1_T20",1,2,1,0,7,0,0.8,"synthetic_teaching_data"
