"landscape_id","site_id","period","quadrat_id","species_id","abundance","native","guild","source_type"
1,"L1_R","before","L1_R_Q1","SP01",0,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP02",4,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP03",8,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP04",1,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP05",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP06",9,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP07",4,0,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP08",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP09",29,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP10",3,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP11",0,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP12",1,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP13",2,0,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP14",1,0,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP15",9,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP16",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP17",0,0,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP18",16,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP19",5,0,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP20",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP21",3,0,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP22",0,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP23",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP24",0,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q1","SP25",1,0,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP01",0,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP02",2,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP03",9,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP04",0,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP05",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP06",9,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP07",0,0,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP08",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP09",7,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP10",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP11",0,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP12",0,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP13",0,0,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP14",0,0,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP15",7,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP16",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP17",0,0,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP18",7,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP19",5,0,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP20",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP21",2,0,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP22",0,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP23",0,1,"fern","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP24",0,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q2","SP25",8,0,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP01",1,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP02",5,1,"tree","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP03",4,1,"shrub","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP04",1,1,"graminoid","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP05",0,1,"herb","synthetic_teaching_data"
1,"L1_R","before","L1_R_Q3","SP06",25,1,"herb","synthetic_teaching_data"
