"landscape_id","site_id","status","period","quadrat_id","canopy_cover","soil_moisture","species_richness","native_cover","source_type"
1,"L1_R","restored","before","L1_R_Q1",35.3,37.2,15,51.9,"synthetic_teaching_data"
1,"L1_R","restored","before","L1_R_Q2",40.7,27.9,9,47.5,"synthetic_teaching_data"
1,"L1_R","restored","before","L1_R_Q3",39.1,28.5,15,44.2,"synthetic_teaching_data"
1,"L1_R","restored","before","L1_R_Q4",47.5,27,13,58.6,"synthetic_teaching_data"
1,"L1_R","restored","before","L1_R_Q5",44.3,23.2,17,57.3,"synthetic_teaching_data"
1,"L1_R","restored","after","L1_R_Q1",55.9,35.7,16,58.7,"synthetic_teaching_data"
1,"L1_R","restored","after","L1_R_Q2",51.9,39.3,18,64.8,"synthetic_teaching_data"
1,"L1_R","restored","after","L1_R_Q3",57.6,33,20,63.1,"synthetic_teaching_data"
1,"L1_R","restored","after","L1_R_Q4",50.8,35.5,18,67.8,"synthetic_teaching_data"
1,"L1_R","restored","after","L1_R_Q5",51.6,37.4,16,64.8,"synthetic_teaching_data"
1,"L1_C","control","before","L1_C_Q1",41.7,20.4,8,44.3,"synthetic_teaching_data"
1,"L1_C","control","before","L1_C_Q2",39.2,20.9,11,46.9,"synthetic_teaching_data"
1,"L1_C","control","before","L1_C_Q3",42.7,22.4,19,52,"synthetic_teaching_data"
1,"L1_C","control","before","L1_C_Q4",45,29.9,12,51.7,"synthetic_teaching_data"
1,"L1_C","control","before","L1_C_Q5",36.7,26,14,54.1,"synthetic_teaching_data"
1,"L1_C","control","after","L1_C_Q1",36.3,28.7,19,56.1,"synthetic_teaching_data"
1,"L1_C","control","after","L1_C_Q2",36.1,23.7,10,53,"synthetic_teaching_data"
1,"L1_C","control","after","L1_C_Q3",41.9,25,14,51,"synthetic_teaching_data"
1,"L1_C","control","after","L1_C_Q4",41.4,21.2,15,50.6,"synthetic_teaching_data"
1,"L1_C","control","after","L1_C_Q5",36.5,24.6,10,63.6,"synthetic_teaching_data"
2,"L2_R","restored","before","L2_R_Q1",35.3,28.6,4,44.7,"synthetic_teaching_data"
2,"L2_R","restored","before","L2_R_Q2",40.9,19,11,48.7,"synthetic_teaching_data"
2,"L2_R","restored","before","L2_R_Q3",33,22,9,52.3,"synthetic_teaching_data"
2,"L2_R","restored","before","L2_R_Q4",37.8,24.3,7,45.8,"synthetic_teaching_data"
2,"L2_R","restored","before","L2_R_Q5",36.8,23.8,9,45.1,"synthetic_teaching_data"
2,"L2_R","restored","after","L2_R_Q1",43.1,18.9,12,62.2,"synthetic_teaching_data"
2,"L2_R","restored","after","L2_R_Q2",46.5,33.9,15,59.2,"synthetic_teaching_data"
2,"L2_R","restored","after","L2_R_Q3",43.5,31.6,14,58,"synthetic_teaching_data"
2,"L2_R","restored","after","L2_R_Q4",48.8,27.4,16,63.4,"synthetic_teaching_data"
2,"L2_R","restored","after","L2_R_Q5",47.8,29.5,13,58.6,"synthetic_teaching_data"
2,"L2_C","control","before","L2_C_Q1",42.5,24.2,10,47.9,"synthetic_teaching_data"
2,"L2_C","control","before","L2_C_Q2",34.6,20.5,12,37.4,"synthetic_teaching_data"
2,"L2_C","control","before","L2_C_Q3",36.7,27.2,7,46.5,"synthetic_teaching_data"
2,"L2_C","control","before","L2_C_Q4",38,21.7,8,47.8,"synthetic_teaching_data"
2,"L2_C","control","before","L2_C_Q5",38.6,25.1,12,46.2,"synthetic_teaching_data"
2,"L2_C","control","after","L2_C_Q1",39,24.8,11,44.7,"synthetic_teaching_data"
2,"L2_C","control","after","L2_C_Q2",38,19,14,51.7,"synthetic_teaching_data"
2,"L2_C","control","after","L2_C_Q3",42.4,22.4,11,58,"synthetic_teaching_data"
2,"L2_C","control","after","L2_C_Q4",44.3,21.3,11,58.8,"synthetic_teaching_data"
2,"L2_C","control","after","L2_C_Q5",44.6,25.8,7,44.7,"synthetic_teaching_data"
3,"L3_R","restored","before","L3_R_Q1",39.6,21.7,14,51,"synthetic_teaching_data"
3,"L3_R","restored","before","L3_R_Q2",37.6,32.7,17,53.7,"synthetic_teaching_data"
3,"L3_R","restored","before","L3_R_Q3",44.3,27.1,11,54.4,"synthetic_teaching_data"
3,"L3_R","restored","before","L3_R_Q4",38.4,23.4,8,54.8,"synthetic_teaching_data"
3,"L3_R","restored","before","L3_R_Q5",37.4,31,13,45.1,"synthetic_teaching_data"
3,"L3_R","restored","after","L3_R_Q1",51.1,34.1,17,62.4,"synthetic_teaching_data"
3,"L3_R","restored","after","L3_R_Q2",48.1,29.2,17,63.7,"synthetic_teaching_data"
3,"L3_R","restored","after","L3_R_Q3",46.8,31,20,65.4,"synthetic_teaching_data"
3,"L3_R","restored","after","L3_R_Q4",51.9,33.9,14,71.1,"synthetic_teaching_data"
3,"L3_R","restored","after","L3_R_Q5",59.6,32.9,18,67,"synthetic_teaching_data"
3,"L3_C","control","before","L3_C_Q1",43.5,22.7,16,47.1,"synthetic_teaching_data"
3,"L3_C","control","before","L3_C_Q2",40.5,25.6,12,51.6,"synthetic_teaching_data"
3,"L3_C","control","before","L3_C_Q3",36.1,24.9,11,58.2,"synthetic_teaching_data"
3,"L3_C","control","before","L3_C_Q4",38.5,21.2,13,56.3,"synthetic_teaching_data"
3,"L3_C","control","before","L3_C_Q5",38,17.6,14,49.3,"synthetic_teaching_data"
3,"L3_C","control","after","L3_C_Q1",46.1,25.5,11,47.6,"synthetic_teaching_data"
3,"L3_C","control","after","L3_C_Q2",54.1,23.8,16,54,"synthetic_teaching_data"
3,"L3_C","control","after","L3_C_Q3",38.3,34.1,15,49.1,"synthetic_teaching_data"
3,"L3_C","control","after","L3_C_Q4",41.6,26.9,11,43.1,"synthetic_teaching_data"
3,"L3_C","control","after","L3_C_Q5",44.3,26.2,13,60.7,"synthetic_teaching_data"
4,"L4_R","restored","before","L4_R_Q1",42.6,31.4,15,47.2,"synthetic_teaching_data"
4,"L4_R","restored","before","L4_R_Q2",45.5,27.5,9,52.2,"synthetic_teaching_data"
4,"L4_R","restored","before","L4_R_Q3",39.3,25.7,11,49.1,"synthetic_teaching_data"
4,"L4_R","restored","before","L4_R_Q4",33.6,19.5,11,52,"synthetic_teaching_data"
4,"L4_R","restored","before","L4_R_Q5",42.4,20.8,11,61.8,"synthetic_teaching_data"
4,"L4_R","restored","after","L4_R_Q1",53,36.7,15,54.8,"synthetic_teaching_data"
4,"L4_R","restored","after","L4_R_Q2",53.8,38.4,18,70,"synthetic_teaching_data"
4,"L4_R","restored","after","L4_R_Q3",51.5,36.1,18,67,"synthetic_teaching_data"
4,"L4_R","restored","after","L4_R_Q4",52.1,27.6,15,69.4,"synthetic_teaching_data"
4,"L4_R","restored","after","L4_R_Q5",50.8,25.1,16,64.1,"synthetic_teaching_data"
4,"L4_C","control","before","L4_C_Q1",41.9,28.9,10,54.2,"synthetic_teaching_data"
4,"L4_C","control","before","L4_C_Q2",39.4,33.8,13,54.3,"synthetic_teaching_data"
4,"L4_C","control","before","L4_C_Q3",44.2,25.9,11,32.9,"synthetic_teaching_data"
4,"L4_C","control","before","L4_C_Q4",41.5,28.1,13,51.5,"synthetic_teaching_data"
4,"L4_C","control","before","L4_C_Q5",38.2,22.1,12,33.4,"synthetic_teaching_data"
4,"L4_C","control","after","L4_C_Q1",41.5,29.8,16,51.2,"synthetic_teaching_data"
4,"L4_C","control","after","L4_C_Q2",44.5,33.5,12,53.7,"synthetic_teaching_data"
4,"L4_C","control","after","L4_C_Q3",42.8,31,15,56,"synthetic_teaching_data"
4,"L4_C","control","after","L4_C_Q4",39.8,30.9,11,46.9,"synthetic_teaching_data"
4,"L4_C","control","after","L4_C_Q5",43.9,26.8,21,48.9,"synthetic_teaching_data"
5,"L5_R","restored","before","L5_R_Q1",39.3,23.9,13,51.5,"synthetic_teaching_data"
5,"L5_R","restored","before","L5_R_Q2",42,30.5,14,54.7,"synthetic_teaching_data"
5,"L5_R","restored","before","L5_R_Q3",37,21.7,15,54.6,"synthetic_teaching_data"
