block_id,plot_id,treatment,plant_id,visit,disease_severity,dead,phytotoxicity,non_target_count,cost_cny_plot,implementation_score,source_type
1,B1_P1,standard,B1_P1_plant1,1,2,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant1,2,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant1,3,1,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant2,1,1,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant2,2,0,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant2,3,1,0,1,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant3,1,2,1,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant3,2,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant3,3,1,0,1,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant4,1,1,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant4,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant4,3,2,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant5,1,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant5,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant5,3,2,0,1,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant6,1,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant6,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant6,3,1,0,2,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant7,1,1,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant7,2,1,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant7,3,3,0,3,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant8,1,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant8,2,0,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant8,3,2,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant9,1,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant9,2,0,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant9,3,0,0,3,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant10,1,1,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant10,2,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant10,3,1,0,1,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant11,1,0,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant11,2,0,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant11,3,2,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant12,1,1,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant12,2,1,1,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant12,3,1,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant13,1,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant13,2,0,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant13,3,2,0,2,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant14,1,0,0,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant14,2,1,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant14,3,1,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant15,1,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant15,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant15,3,0,0,2,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant16,1,2,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant16,2,1,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant16,3,2,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant17,1,1,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant17,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant17,3,1,0,0,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant18,1,0,1,1,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant18,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant18,3,0,0,1,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant19,1,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant19,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant19,3,1,0,2,2,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant20,1,0,0,2,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant20,2,0,0,0,4,150,0.94,synthetic_teaching_data
1,B1_P1,standard,B1_P1_plant20,3,0,0,2,2,150,0.94,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant1,1,1,0,1,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant1,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant1,3,1,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant2,1,1,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant2,2,1,0,1,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant2,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant3,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant3,2,1,0,1,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant3,3,1,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant4,1,1,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant4,2,0,0,3,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant4,3,1,0,1,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant5,1,0,0,1,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant5,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant5,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant6,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant6,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant6,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant7,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant7,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant7,3,1,1,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant8,1,1,1,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant8,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant8,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant9,1,1,1,1,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant9,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant9,3,2,0,1,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant10,1,1,0,3,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant10,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant10,3,1,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant11,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant11,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant11,3,1,0,1,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant12,1,0,0,2,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant12,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant12,3,1,1,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant13,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant13,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant13,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant14,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant14,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant14,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant15,1,2,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant15,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant15,3,1,0,1,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant16,1,1,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant16,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant16,3,1,0,2,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant17,1,1,0,1,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant17,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant17,3,1,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant18,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant18,2,0,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant18,3,0,0,0,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant19,1,2,0,1,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant19,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant19,3,1,0,3,4,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant20,1,0,0,0,6,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant20,2,1,0,0,7,650,0.74,synthetic_teaching_data
1,B1_P2,integrated,B1_P2_plant20,3,1,0,1,4,650,0.74,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant1,1,2,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant1,2,2,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant1,3,3,1,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant2,1,1,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant2,2,0,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant2,3,0,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant3,1,1,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant3,2,1,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant3,3,2,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant4,1,1,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant4,2,1,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant4,3,1,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant5,1,2,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant5,2,2,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant5,3,2,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant6,1,1,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant6,2,2,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant6,3,2,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant7,1,2,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant7,2,1,0,1,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant7,3,2,0,0,8,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant8,1,1,0,0,5,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant8,2,0,0,0,10,400,0.95,synthetic_teaching_data
1,B1_P3,biocontrol,B1_P3_plant8,3,0,0,1,8,400,0.95,synthetic_teaching_data
